EventDescription,FailedAssets,CauseTechnical,Category
A nearby customer reported sparking of electrical lines at the above location. On attendance the crew found that a High Voltage ABC conductor had faulted midspan resulting in a ground fire (Approx 30 sqm). There were no reported injuries.,Conductor (ABC),Earth fault,OH Cable
"A contractor reported that he had contacted an earthing cable while excavating a trench at the above location. On arrival the crew found that the contractor (Dennis James, Ph: 0418 390 584) was digging a trench and contacted an earthing cable, causing damage to the cable. There were no reported injuries or third party property damages.",No failed asset,,Dug up
A field crew attending an outage found that a 22kV conductor had broken due to rust at a connecting sleeve and had fallen to the ground where one end remained alive due to a high impedance backfeed through downline transformer windings. Protection operated. There were no reported injuries or third party property damages.,Conductor (bare),Corrosion,Connection
"Interfere and vandalism in substation. Unknown third parties used an unknown object to interfere with two HV fuses which blew in an Indoor Substation. ‘Little Bank – Kingsway’ Indoor substation affected. Also, Secure Parking at the rear of 19-29 Bank Street had theft and vandalism of their Ticket Machine in conjunction with this substation interfere and vandalism.",Indoor,,Other
"A nearby customer reported that a high load had pulled down wires at the above location.  On arrival the crew found that a LV service cable had been contacted by an unknown vehicle, breaking the cable which fell to the ground. There were no reported injuries or third party property damages.  Following repairs the cable was measured at 5.3m at the kerb.",Service conductor,,Vehicle
"Customers supplied from ""Flinders-Pallant"" substation advised of a loss of supply.

A HV fuse candled at ""Flinders-Pallant"" substation that caused a loss of supply to customers who reside in Frankston-Flinders Road, Balnarring.",Boric acid,Age,Fuse
"Caller reports there is a electricity service line that has been wrapped around a pole outside a demolished property.

An overhead service that supplied 110 Springfield Road Blackburn, North was removed from a property being demolished and left coiled up around pole No. LIS 7039411.  The service cable was alive and coiled with the Optus cable.  The electricity meter/s could not be found at the site. 

Demolisher - Sustainable Demolition 
1300 123 366
www.sustainabledemolition.com.au",Service conductor,,Other
"Burnt Out 5A EDO Fuse Tube at Sunday Rd 1, Lis 2605640. No Damage.",EDO fuse,Insulator,Fuse
"IMS 218704. A vehicle incident just past 500 Stud Rd, caused the car to collide with an AusNet Services pole, bringing down entire pole and all bare HV and LV conductors. Incident resulted in HVI damage to two properties and a VicRoads traffic signal control cabinet. BRA21 feeder CB operated. At time of the incident there was inclement weather and the roads were wet.",Pole (wood),HV injection,Vehicle
"No Go Zone infringement.

An Extec No Go Zone Co-Ordinator advised Downer of a building under construction that has infringed into a No Go Zone. Photos were provided to Downer that demonstrate the balcony is located approximately 1.5m from the HV road side conductor.

A Permit to Work (No. 008288) was issued to the builder who was instructed to cease all works immediately including any scaffolding construction on the first floor.",No failed asset,,Other
